latitude,longitude,fips1,fips2,fips3,fips4,fips5,fips6
33.7141,-118.3089,060372975002012,060372975002011,060372975002003,,,
33.7142,-118.3055,060372975002007,060372975004010,060372975002008,060372975004009,,
33.7143,-118.3,060372975001013,060372975001018,060372975002001,060372975002000,060372975001019,
33.7143,-118.2929,060372975001025,060372976022004,060372976022005,,,
33.7143,-118.2916,060372976022003,060372976022004,060372976022005,,,
33.7143,-118.2907,060372976022003,060372976022002,,,,
33.7143,-118.2898,060372976022002,060372976022001,,,,
33.7143,-118.2889,060372976022001,060372976022000,,,,
33.7144,-118.2997,060372975001013,060372975001019,,,,
33.7145,-118.3009,060372975002001,060372975001013,060372975001017,,,
33.7146,-118.3065,060372975004009,060372975002013,060372975002008,,,
33.7147,-118.3112,060372973002000,060372973002005,060372975002010,060372975002003,,
33.7148,-118.3042,060372975004010,060372975004017,,,,
33.7148,-118.2756,060379800311108,060379800311107,,,,
33.7149,-118.3074,060372975004009,060372975002013,060372975002012,,,
33.7149,-118.3019,060372975004016,060372975004015,060372975004013,060372975004014,,
33.715,-118.3052,060372975004009,060372975004005,060372975004010,,,
33.7152,-118.3084,060372975002011,060372975004008,060372975002012,060372975004009,,
33.7152,-118.3029,060372975004017,060372975004016,060372975004012,060372975004013,,
33.7152,-118.2929,060372975001012,060372975001025,060372976023015,060372976022004,,
33.7152,-118.2916,060372976023016,060372976023015,060372976022003,060372976022004,,
33.7152,-118.2907,060372976023016,060372976022003,060372976023010,060372976022002,,
33.7152,-118.2898,060372976023010,060372976022002,060372976023009,060372976022001,,
33.7152,-118.2889,060372976023009,060372976023008,060372976022001,060372976022000,,
33.7152,-118.2879,060372976013014,060372976023008,060372976013013,060372976022000,,
33.7152,-118.2871,060372976013000,060372976013014,060372976013013,,,
33.7155,-118.3067,060372975004009,060372975004005,,,,
33.7155,-118.2952,060372975001016,,,,,
33.7156,-118.3094,060372975004008,060372975002010,060372975002011,,,
33.7157,-118.3147,060372973002001,060372973002000,,,,
33.7159,-118.3047,060372975004011,060372975004005,060372975004010,,,
33.716,-118.2867,060372976013014,060372976013000,,,,
33.7161,-118.3082,060372975004005,060372975004008,,,,
33.7161,-118.2929,060372975001009,060372976023014,060372976023015,,,
33.7161,-118.2916,060372976023011,060372976023014,060372976023016,060372976023015,,
33.7161,-118.2914,060372976023011,060372976023016,,,,
33.7161,-118.2907,060372976023011,060372976023016,060372976023010,,,
33.7161,-118.2898,060372976023010,060372976023009,,,,
33.7161,-118.2889,060372976023009,060372976023008,,,,
33.7163,-118.3081,060372975004005,,,,,
33.7166,-118.3182,060372973002003,060372973002000,,,,
33.7166,-118.3011,060372975004013,060372975004001,060372975004002,,,
33.7166,-118.2819,060379800311132,,,,,
33.7167,-118.2842,060379800311131,,,,,
33.7169,-118.2999,060372975001013,060372975004001,,,,
33.717,-118.3093,060372975004007,060372975005003,,,,
33.717,-118.302,060372975004003,060372975004002,060372975004012,060372975004013,,
33.717,-118.2929,060372975001009,060372976023013,060372976023014,,,
33.717,-118.2916,060372976023012,060372976023013,060372976023011,060372976023014,,
33.717,-118.2907,060372976023012,060372976023011,060372976023005,060372976023010,,
33.717,-118.2889,060372976023006,060372976023009,060372976023007,060372976023008,,
33.717,-118.2879,060372976013008,060372976013014,060372976023007,060372976023008,,
33.7171,-118.2951,060372975001012,060372975001010,,,,
33.7173,-118.3029,060372975004003,060372975004004,060372975004012,060372975004011,,
33.7174,-118.3188,060372973002000,060372973002003,,,,
33.7174,-118.3053,060372975004006,060372975004005,,,,
33.7176,-118.3039,060372975004005,060372975004011,060372975004004,,,
33.7177,-118.2937,060372975001004,060372975001010,060372975001009,,,
33.7177,-118.2861,060372976013003,060372976013000,,,,
33.7178,-118.3016,060372975004003,060372975004002,,,,
33.7178,-118.2979,060372975001011,060372975001012,,,,
33.7178,-118.2757,060379800311108,,,,,
33.7179,-118.296,060372975001010,060372975001011,,,,
33.7179,-118.2929,060372975001009,060372976023003,060372976023013,,,
33.7179,-118.2916,060372976023004,060372976023012,060372976023003,060372976023013,,
33.7179,-118.2914,060372976023004,060372976023012,,,,
33.7179,-118.2907,060372976023004,060372976023012,060372976023005,,,
33.7179,-118.2898,060372976023005,060372976023006,,,,
33.7179,-118.2889,060372976023006,060372976023007,,,,
33.7179,-118.2841,060379800311128,060379800311129,060379800311127,,,
33.718,-118.2849,060372976013000,,,,,
33.7181,-118.2947,060372975001004,060372975001010,,,,
33.7181,-118.2804,060379800311113,060379800311108,,,,
33.7182,-118.2991,060372975001012,060372975001006,,,,
33.7182,-118.2949,060372975001004,060372975001010,,,,
33.7183,-118.3003,060372975004002,060372975004001,,,,
33.7183,-118.2994,060372975004001,060372975001012,060372975001006,,,
33.7185,-118.2977,060372975001011,,,,,
33.7186,-118.3035,060372975005010,060372975004005,,,,
33.7186,-118.3012,060372975004003,060372975004002,060372975004001,,,
33.7186,-118.2802,060379800311108,060379800311132,,,,
33.7187,-118.3029,060372975004004,060372975005010,,,,
33.7187,-118.2937,060372975001004,060372975001009,060372975001008,,,
33.7187,-118.2929,060372975001009,060372976023003,,,,
33.7188,-118.305,060372975005007,060372975005012,060372975005009,060372975005010,,
33.7188,-118.2929,060372975001009,060372975001008,060372976023002,060372976023003,,
33.7188,-118.2916,060372976023004,060372976023001,060372976023003,060372976023002,,
33.7188,-118.2907,060372976023001,060372976023004,060372976021009,060372976023005,,
33.7188,-118.2898,060372976021009,060372976023005,060372976021007,060372976023006,,
33.7188,-118.2889,060372976021007,060372976023006,060372976021008,060372976023007,,
33.7188,-118.2879,060372976013008,060372976021008,060372976023007,,,
33.7189,-118.3055,060372975005007,060372975005009,060372975005004,,,
