Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
2,< 2,Kansas State (29),Big 12,,1699, ,10-0,3,,,
3,< 3,UCLA (4),Pac-10,,1618, ,9-0,2,,,
4,< 4,Florida,SEC,,1526, ,9-1,5,,,
5,< 5,Florida State,ACC,,1489, ,10-1,4,,,
6,< 6,Texas A&M,Big 12,,1361, ,10-1,6,,,
7,< 7,Ohio State,Big Ten,,1350, ,9-1,7,,,
8,< 9,Arizona,Pac-10,,1262,W 27-23 A California,10-1,8,,,
9,< 10,Arkansas,SEC,,1127, ,8-1,9,,,
10,< 12,Notre Dame,Ind,,1081, ,8-1,10,,,
11,< 15,Michigan,Big Ten,,1054, ,8-2,12,,,
12,< 14,Tulane,C-USA,,869,W 49-35 A Army,9-0,16,,,
13,< 8,Wisconsin,Big Ten,,849, ,9-1,13,,,
14,< 17,Georgia,SEC,,788, ,7-2,15,,,
15,< 20,Oregon,Pac-10,,754, ,8-2,11,,,
16,< 19,Penn State,Big Ten,,705, ,7-2,17,,,
17,< 11,Nebraska,Big 12,,616, ,8-3,14,,,
18,< 21,Virginia,ACC,,528, ,8-2,21,,,
19,< 13,Missouri,Big 12,,456, ,7-3,19,,,
20,< 23,Air Force,WAC,,434, ,9-1,18,,,
21,< 22,Georgia Tech,ACC,,398, ,7-2,22,,,
22,< 24,Miami (FL),Big East,,365, ,6-2,24,,,
23,< 16,Virginia Tech,Big East,,206, ,7-2,NR,,,
24,< NR,Syracuse,Big East,,140, ,6-3,NR,,,
25,< 18,Texas,Big 12,,117, ,7-3,23,,,
RV,< NR,Kentucky,SEC,,66, ,,NR,,,
RV,< NR,Texas Tech,Big 12,,65, ,,NR,,,
RV,< NR,USC,Pac-10,,56, ,,20,,,
RV,< NR,West Virginia,Big East,,23, ,,NR,,,
RV,< 25,Wyoming,WAC,,10, ,,NR,,,
RV,< NR,Mississippi State,SEC,,8, ,,NR,,,
RV,< NR,Purdue,Big Ten,,8, ,,NR,,,
RV,< NR,Marshall,MAC,,6, ,,NR,,,
RV,< NR,Colorado,Big 12,,3, ,,NR,,,
RV,< NR,NC State,ACC,,3, ,,NR,,,
RV,< NR,BYU,WAC,,1, ,,NR,,,
1,< 1,Tennessee (42),SEC,,1715,W 59-21 H Kentucky,10-0,1,,,
2,< 2,Kansas State (24),Big 12,,1685, ,11-0,3,,,
3,< 3,UCLA (4),Pac-10,,1628, ,10-0,2,,,
4,< 5,Florida State,ACC,,1547, ,11-1,4,,,
5,< 7,Ohio State,Big Ten,,1446, ,10-1,6,,,
6,< 6,Texas A&M,Big 12,,1417, ,10-1,5,,,
7,< 8,Arizona,Pac-10,,1326,DNP,10-1,7,,,
8,< 4,Florida,SEC,,1217, ,9-2,8,,,
9,< 10,Notre Dame,Ind,,1165, ,9-1,9,,,
10,< 13,Wisconsin,Big Ten,,1098, ,10-1,10,,,
11,< 12,Tulane,C-USA,,1000,W 48-20 H Houston,10-0,11,,,
12,< 14,Georgia,SEC,,965, ,8-2,15,,,
13,< 9,Arkansas,SEC,,783, ,8-2,13,,,
14,< 17,Nebraska,Big 12,,766, ,8-3,12,,,
15,< 11,Michigan,Big Ten,,714, ,8-3,14,,,
16,< 18,Virginia,ACC,,698, ,8-2,17,,,
17,< 21,Georgia Tech,ACC,,627, ,8-2,19,,,
18,< 20,Air Force,WAC,,604, ,10-1,16,,,
19,< 22,Miami (FL),Big East,,559, ,7-2,20,,,
20,< 23,Virginia Tech,Big East,,371, ,8-2,NR,,,
21,< 24,Syracuse,Big East,,297, ,7-3,NR,,,
22,< 15,Oregon,Pac-10,,278, ,8-3,18,,,
23,< 16,Penn State,Big Ten,,233, ,7-3,NR,,,
24,< 19,Missouri,Big 12,,232, ,7-4,NR,,,
25,< NR,Mississippi State,SEC,,147, ,7-3,NR,,,
NR,< 25,Texas,Big 12,,, ,,,,,
1,< 1,Tennessee (41),SEC,,1669,W 41-0 A Vanderbilt,11-0,1,,,
2,< 2,Kansas State (24),Big 12,,1638, ,11-0,3,,,
3,< 3,UCLA (3),Pac-10,,1579, ,10-0,2,,,
4,< 4,Florida State,ACC,,1501, ,11-1,4,,,
5,< 5,Ohio State,Big Ten,,1427, ,10-1,5,,,
6,< 7,Arizona,Pac-10,,1358,W 50-42 H Arizona State,11-1,6,,,
7,< 8,Florida,SEC,,1280, ,9-2,7,,,
8,< 10,Wisconsin,Big Ten,,1173, ,10-1,9,,,
9,< 11,Tulane,C-USA,,1043,W 63-30 H Louisiana Tech,11-0,10,,,
10,< 6,Texas A&M,Big 12,,1014, ,10-2,8,,,
11,< 13,Arkansas,SEC,,941, ,9-2,13,,,
12,< 17,Georgia Tech,ACC,,843, ,9-2,12,,,
13,< 14,Nebraska,Big 12,,831, ,9-3,11,,,
14,< 16,Virginia,ACC,,811, ,9-2,14,,,
15,< 15,Michigan,Big Ten,,809, ,9-3,NR,,,
16,< 9,Notre Dame,Ind,,667, ,9-2,NR,,,
17,< 18,Air Force,WAC,,617, ,10-1,NR,,,
18,< 21,Syracuse,Big East,,576, ,8-3,15,,,
19,< 12,Georgia,SEC,,490, ,8-3,NR,,,
20,< NR,Texas,Big 12,,402, ,8-3,NR,,,
21,< 22,Oregon,Pac-10,,324, ,8-3,NR,,,
22,< 23,Penn State,Big Ten,,315, ,8-3,NR,,,
23,< 25,Mississippi State,SEC,,275, ,8-3,NR,,,
24,< 24,Missouri,Big 12,,230, ,7-4,NR,,,
25,< 20,Virginia Tech,Big East,,105, ,8-3,NR,,,
NR,< 19,Miami (FL),Big East,,, ,,,,,
1,< 1,Tennessee (70),SEC,,1750,W 24-14 N #23 Mississippi State,12-0,1,,,
2,< 4,Florida State,ACC,,1671, ,11-1,2,,,
3,< 5,Ohio State,Big Ten,,1602, ,10-1,4,,,
4,< 2,Kansas State,Big 12,,1476, ,11-1,3,,,
5,< 6,Arizona,Pac-10,,1412,DNP,11-1,7,,,
6,< 3,UCLA,Pac-10,,1398, ,10-1,5,,,
7,< 7,Florida,SEC,,1337, ,9-2,8,,,
8,< 10,Texas A&M,Big 12,,1310, ,11-2,6,,,
9,< 8,Wisconsin,Big Ten,,1176, ,10-1,9,,,
10,< 9,Tulane,C-USA,,1067,DNP,11-0,10,,,
11,< 11,Arkansas,SEC,,960, ,9-2,13,,,
12,< 12,Georgia Tech,ACC,,874, ,9-2,14,,,
13,< 14,Virginia,ACC,,817, ,9-2,12,,,
14,< 13,Nebraska,Big 12,,815, ,9-3,11,,,
15,< 15,Michigan,Big Ten,,793, ,9-3,NR,,,
16,< 17,Air Force,WAC,,689, ,11-1,NR,,,
17,< 16,Notre Dame,Ind,,665, ,9-2,NR,,,
18,< 18,Syracuse,Big East,,610, ,8-3,15,,,
19,< 19,Georgia,SEC,,478, ,8-3,NR,,,
20,< 20,Texas,Big 12,,442, ,8-3,NR,,,
21,< 21,Oregon,Pac-10,,322, ,8-3,NR,,,
22,< 22,Penn State,Big Ten,,293, ,8-3,NR,,,
23,< 24,Missouri,Big 12,,206, ,7-4,NR,,,
24,< NR,Miami (FL),Big East,,190, ,8-3,NR,,,
25,< 23,Mississippi State,SEC,,159, ,8-4,NR,,,
NR,< 25,Virginia Tech,Big East,,, ,,,,,
1,< 1,Tennessee (70),SEC,,1750,W 23-16 N #2 Florida State (BCS NC/Fiesta),13-0,,,,
2,< 3,Ohio State,Big Ten,,1673, ,11-1,,,,
3,< 2,Florida State,ACC,,1574,L 23-16 N #1 Tennessee (BCS/Fiesta),11-2,,,,
4,< 5,Arizona,Pac-10,,1535,W 23-20 N Nebraska (Holiday),12-1,,,,
5,< 7,Florida,SEC,,1463, ,10-2,,,,
6,< 9,Wisconsin,Big Ten,,1427, ,11-1,,,,
7,< 10,Tulane,C-USA,,1252,W 41-27 N BYU (Liberty),12-0,,,,
8,< 6,UCLA,Pac-10,,1123, ,10-2,,,,
9,< 12,Georgia Tech,ACC,,1122, ,10-2,,,,
10,< 4,Kansas State,Big 12,,1086, ,11-2,,,,
11,< 8,Texas A&M,Big 12,,1071, ,11-3,,,,
12,< 15,Michigan,Big Ten,,1052, ,10-3,,,,
13,< 16,Air Force,WAC,,980, ,12-1,,,,
14,< 19,Georgia,SEC,,785, ,9-3,,,,
15,< 20,Texas,Big 12,,740, ,9-3,,,,
16,< 11,Arkansas,SEC,,621, ,9-3,,,,
17,< 22,Penn State,Big Ten,,619, ,9-3,,,,
18,< 13,Virginia,ACC,,544, ,9-3,,,,
19,< 14,Nebraska,Big 12,,454, ,9-4,,,,
20,< 24,Miami (FL),Big East,,426, ,9-3,,,,
21,< 23,Missouri,Big 12,,335, ,8-4,,,,
22,< 17,Notre Dame,Ind,,315, ,9-3,,,,
23,< NR,Virginia Tech,Big East,,256, ,9-3,,,,
24,< NR,Purdue,Big Ten,,236, ,9-4,,,,
25,< 18,Syracuse,Big East,,161, ,8-4,,,,
RV,< NR,Colorado,Big 12,,46, ,8-4,,,,
RV,< NR,Marshall,MAC,,45, ,12-1,,,,
RV,< 21,Oregon,Pac-10,,28, ,8-4,,,,
RV,< 25,Mississippi State,SEC,,10, ,8-5,,,,
RV,< NR,Miami (OH),MAC,,9, ,10-1,,,,
RV,< NR,West Virginia,Big East,,6, ,8-4,,,,
RV,< NR,Idaho,Big West,,2, ,9-3,,,,
RV,< NR,TCU,WAC,,2, ,7-5,,,,
RV,< NR,Mississippi,SEC,,1, ,7-5,,,,
RV,< NR,USC,Pac-10,,1, ,8-5,,,,
1,< 3,Florida State (48),ACC,,1720,DNP,0-0,,,,
2,< 1,Tennessee (15),SEC,,1643,DNP,0-0,,,,
3,< 17,Penn State (4),Big Ten,,1582,DNP,0-0,,,,
4,< 4,Arizona (1),Pac-10,,1537,DNP,0-0,,,,
5,< 5,Florida (1),SEC,,1361,DNP,0-0,,,,
6,< 19,Nebraska,Big 12,,1327,DNP,0-0,,,,
7,< 11,Texas A&M,Big 12,,1314,DNP,0-0,,,,
8,< 12,Michigan,Big Ten,,1292,DNP,0-0,,,,
9,< 2,Ohio State,Big Ten,,1160,DNP,0-0,,,,
10,< 6,Wisconsin,Big Ten,,1091,DNP,0-0,,,,
11,< 9,Georgia Tech,ACC,,979,DNP,0-0,,,,
12,< 20,Miami (FL),Big East,,928,DNP,0-0,,,,
13,< 23,Virginia Tech (1),Big East,,896,DNP,0-0,,,,
14,< 14,Georgia,SEC,,829,DNP,0-0,,,,
15,< NR,Colorado,Big 12,,636,DNP,0-0,,,,
16,< 8,UCLA,Pac-10,,587,DNP,0-0,,,,
17,< 15,Texas,Big 12,,487,DNP,0-0,,,,
18,< 22,Notre Dame,Ind,,463,DNP,0-0,,,,
19,< NR,USC,Pac-10,,455,DNP,0-0,,,,
20,< NR,Alabama,SEC,,445,DNP,0-0,,,,
20,< 10,Kansas State,Big 12,,445,DNP,0-0,,,,
22,< 16,Arkansas,SEC,,441,DNP,0-0,,,,
23,< 24,Purdue,Big Ten,,370,DNP,0-0,,,,
24,< 18,Virginia,ACC,,222,DNP,0-0,,,,
25,< NR,Arizona State,Pac-10,,108,DNP,0-0,,,,
RV,< NR,BYU,MWC,,93,DNP,0-0,,,,
RV,< NR,Marshall,MAC,,75,DNP,0-0,,,,
RV,< NR,Mississippi State,SEC,,72,DNP,0-0,,,,
RV,< NR,Michigan State,Big Ten,,34,DNP,0-0,,,,
RV,< 13,Air Force,MWC,,25,DNP,0-0,,,,
RV,< NR,Mississippi,SEC,,23,DNP,0-0,,,,
RV,< 25,Syracuse,Big East,,23,DNP,0-0,,,,
RV,< NR,Louisville,C-USA,,20,DNP,0-0,,,,
RV,< NR,Wyoming,MWC,,15,DNP,0-0,,,,
RV,< NR,LSU,SEC,,13,DNP,0-0,,,,
RV,< NR,Oklahoma State,Big 12,,9,DNP,0-0,,,,
RV,< 21,Missouri,Big 12,,7,DNP,0-0,,,,
RV,< NR,North Carolina,ACC,,6,DNP,0-0,,,,
RV,< NR,Oregon,Pac-10,,6,DNP,0-0,,,,
RV,< NR,Southern Miss,C-USA,,2,DNP,0-0,,,,
RV,< NR,Washington,Pac-10,,2,DNP,0-0,,,,
RV,< NR,Miami (OH),MAC,,1,DNP,0-0,,,,
RV,< NR,NC State,ACC,,1,DNP,0-0,,,,
RV,< NR,TCU,WAC,,1,DNP,0-0,,,,
RV,< NR,Texas Tech,Big 12,,1,DNP,0-0,,,,
RV,< NR,Utah,MWC,,1,DNP,0-0,,,,
RV,< NR,West Virginia,Big East,,1,DNP,0-0,,,,
RV,< NR,Western Michigan,MAC,,1,DNP,0-0,,,,
NR,< 7,Tulane,C-USA,,0,DNP,0-0,,,,
1,< 1,Florida State (28),ACC,,1671,W 41-7 H Louisiana Tech,1-0,,,,
2,< 3,Penn State (26),Big Ten,,1663, ,1-0,,,,
3,< 2,Tennessee (13),SEC,,1610,DNP,0-0,,,,
4,< 5,Florida (1),SEC,,1429,DNP,0-0,,,,
5,< 6,Nebraska,Big 12,,1376,DNP,0-0,,,,
6,< 7,Texas A&M,Big 12,,1368,DNP,0-0,,,,
7,< 8,Michigan,Big Ten,,1328,DNP,0-0,,,,
8,< 12,Miami (FL),Big East,,1238, ,1-0,,,,
9,< 10,Wisconsin,Big Ten,,1146,DNP,0-0,,,,
10,< 11,Georgia Tech,ACC,,1048,DNP,0-0,,,,
11,< 13,Virginia Tech (1),Big East,,951,DNP,0-0,,,,
12,< 14,Georgia,SEC,,900,DNP,0-0,,,,
13,< 9,Ohio State,Big Ten,,766, ,0-1,,,,
14,< 15,Colorado,Big 12,,687,DNP,0-0,,,,
15,< 4,Arizona,Pac-10,,656,L 41-7 A Penn State (Pigskin Classic),0-1,,,,
16,< 18,Notre Dame,Ind,,655, ,1-0,,,,
17,< 16,UCLA,Pac-10,,606,DNP,0-0,,,,
18,< 22,Arkansas,SEC,,489,DNP,0-0,,,,
19,< 20,Kansas State,Big 12,,488,DNP,0-0,,,,
20,< 20,Alabama,SEC,,463,DNP,0-0,,,,
21,< 19,USC,Pac-10,,455,DNP,0-0,,,,
22,< 23,Purdue,Big Ten,,385,DNP,0-0,,,,
23,< 24,Virginia,ACC,,241,DNP,0-0,,,,
24,< NR,NC State,ACC,,174, ,1-0,,,,
25,< 25,Arizona State,Pac-10,,125,DNP,0-0,,,,
NR,< 17,Texas,Big 12,,, ,,,,,
1,< 1,Florida State (31),ACC,,1698,DNP,1-0,,,,
2,< 2,Penn State (26),Big Ten,,1691, ,2-0,,,,
3,< 3,Tennessee (11),SEC,,1631, ,1-0,,,,
4,< 4,Florida (1),SEC,,1446, ,1-0,,,,
5,< 5,Nebraska,Big 12,,1402, ,1-0,,,,
6,< 7,Michigan,Big Ten,,1394, ,1-0,,,,
7,< 6,Texas A&M,Big 12,,1371, ,1-0,,,,
8,< 8,Miami (FL),Big East,,1258, ,2-0,,,,
9,< 9,Wisconsin,Big Ten,,1183, ,1-0,,,,
10,< 10,Georgia Tech,ACC,,1091, ,1-0,,,,
11,< 11,Virginia Tech (1),Big East,,1025, ,1-0,,,,
12,< 12,Georgia,SEC,,974, ,1-0,,,,
13,< 13,Ohio State,Big Ten,,786, ,0-1,,,,
14,< 17,UCLA,Pac-10,,719, ,1-0,,,,
15,< 18,Arkansas,SEC,,626, ,1-0,,,,
16,< 16,Notre Dame,Ind,,573, ,1-1,,,,
17,< 19,Kansas State,Big 12,,526,DNP,0-0,,,,
18,< 21,USC,Pac-10,,524, ,1-0,,,,
19,< 15,Arizona,Pac-10,,517,W 35-31 A TCU,1-1,,,,
20,< 22,Purdue,Big Ten,,510, ,1-0,,,,
21,< 20,Alabama,SEC,,434, ,1-0,,,,
22,< 23,Virginia,ACC,,314, ,1-0,,,,
23,< 24,NC State,ACC,,209, ,2-0,,,,
24,< NR,Colorado State,MWC,,176,W 41-14 N Colorado,1-0,,,,
25,< 25,Arizona State,Pac-10,,124,DNP,0-0,,,,
NR,< 14,Colorado,Big 12,,, ,,,,,
1,< 1,Florida State (49),ACC,,1725,W 41-35 H #10 Georgia Tech,2-0,,,,
2,< 3,Tennessee (13),SEC,,1650, ,1-0,,,,
3,< 2,Penn State (6),Big Ten,,1619, ,3-0,,,,
4,< 4,Florida (1),SEC,,1446, ,2-0,,,,
4,< 5,Nebraska,Big 12,,1446, ,2-0,,,,
6,< 6,Michigan,Big Ten,,1403, ,2-0,,,,
7,< 7,Texas A&M,Big 12,,1342, ,1-0,,,,
8,< 8,Miami (FL),Big East,,1267, ,2-0,,,,
9,< 9,Wisconsin,Big Ten,,1184, ,2-0,,,,
10,< 11,Virginia Tech (1),Big East,,1046, ,2-0,,,,
11,< 12,Georgia,SEC,,996, ,2-0,,,,
12,< 10,Georgia Tech,ACC,,981, ,1-1,,,,
13,< 13,Ohio State,Big Ten,,901, ,1-1,,,,
14,< 20,Purdue,Big Ten,,764, ,2-0,,,,
15,< 15,Arkansas,SEC,,677, ,1-0,,,,
16,< 17,Kansas State,Big 12,,654, ,1-0,,,,
17,< 18,USC,Pac-10,,602, ,1-0,,,,
18,< 21,Alabama,SEC,,550, ,2-0,,,,
19,< 19,Arizona,Pac-10,,452,W 34-19 H Middle Tennessee,2-1,,,,
20,< 23,NC State,ACC,,349, ,3-0,,,,
21,< 14,UCLA,Pac-10,,303, ,1-1,,,,
22,< 25,Arizona State,Pac-10,,234, ,1-0,,,,
23,< 24,Colorado State,MWC,,207,W 38-33 H Nevada,2-0,,,,
24,< 16,Notre Dame,Ind,,171, ,1-2,,,,
25,< NR,BYU,MWC,,156, ,1-0,,,,
NR,< 22,Virginia,ACC,,, ,,,,,
1,< 1,Florida State (59),ACC,,1738,W 42-11 H #20 NC State,3-0,,,,
2,< 3,Penn State (7),Big Ten,,1658, ,4-0,,,,
3,< 4,Florida (3),SEC,,1628, ,3-0,,,,
4,< 6,Michigan,Big Ten,,1447, ,3-0,,,,
5,< 7,Texas A&M,Big 12,,1426, ,2-0,,,,
6,< 4,Nebraska,Big 12,,1412, ,3-0,,,,
7,< 2,Tennessee,SEC,,1396, ,1-1,,,,
8,< 10,Virginia Tech (1),Big East,,1157, ,2-0,,,,
9,< 8,Miami (FL),Big East,,1130, ,2-1,,,,
10,< 12,Georgia Tech,ACC,,1101, ,2-1,,,,
11,< 11,Georgia,SEC,,1096, ,2-0,,,,
12,< 13,Ohio State,Big Ten,,960, ,2-1,,,,
13,< 14,Purdue,Big Ten,,927, ,3-0,,,,
14,< 15,Arkansas,SEC,,858, ,2-0,,,,
15,< 16,Kansas State,Big 12,,778, ,2-0,,,,
16,< 17,USC,Pac-10,,637, ,2-0,,,,
17,< 25,BYU,MWC,,526, ,2-0,,,,
18,< 21,UCLA,Pac-10,,452, ,2-1,,,,
19,< NR,Michigan State,Big Ten,,435, ,3-0,,,,
20,< 9,Wisconsin,Big Ten,,390, ,2-1,,,,
21,< NR,Marshall,MAC,,297,W 35-16 H Bowling Green,3-0,,,,
22,< NR,Texas,Big 12,,252, ,3-1,,,,
23,< NR,Mississippi State,SEC,,211, ,3-0,,,,
24,< NR,Air Force,MWC,,145, ,2-0,,,,
25,< 20,NC State,ACC,,142, ,3-1,,,,
NR,< 18,Alabama,SEC,,, ,,,,,
NR,< 19,Arizona,Pac-10,,,L 50-22 H Stanford,,,,,
NR,< 22,Arizona State,Pac-10,,, ,,,,,
NR,< 23,Colorado State,MWC,,, ,,,,,
NR,< 24,Notre Dame,Ind,,, ,,,,,
1,< 1,Florida State (61),ACC,,1740,W 42-10 A North Carolina,4-0,,,,
2,< 2,Penn State (5),Big Ten,,1659, ,5-0,,,,
3,< 3,Florida (3),SEC,,1623, ,4-0,,,,
4,< 4,Michigan,Big Ten,,1500, ,4-0,,,,
5,< 5,Texas A&M,Big 12,,1447, ,3-0,,,,
6,< 6,Nebraska,Big 12,,1433, ,4-0,,,,
7,< 7,Tennessee,SEC,,1273, ,2-1,,,,
8,< 8,Virginia Tech (1),Big East,,1255, ,3-0,,,,
9,< 10,Georgia Tech,ACC,,1153, ,2-1,,,,
10,< 11,Georgia,SEC,,1052, ,3-0,,,,
11,< 13,Purdue,Big Ten,,1050, ,4-0,,,,
12,< 12,Ohio State,Big Ten,,1036, ,3-1,,,,
13,< 15,Kansas State,Big 12,,885, ,3-0,,,,
14,< 19,Michigan State,Big Ten,,853, ,4-0,,,,
15,< 22,Texas,Big 12,,676, ,4-1,,,,
16,< 23,Mississippi State,SEC,,568, ,4-0,,,,
17,< 21,Marshall,MAC,,513,W 34-0 H Temple,4-0,,,,
18,< 9,Miami (FL),Big East,,451, ,2-2,,,,
19,< NR,East Carolina,C-USA,,408,W 27-23 N Miami (FL),4-0,,,,
20,< 14,Arkansas,SEC,,344, ,2-1,,,,
21,< NR,Alabama,SEC,,318, ,3-1,,,,
22,< NR,Syracuse,Big East,,288, ,3-1,,,,
23,< NR,Oklahoma,Big 12,,204,W 42-21 H Louisville,3-0,,,,
24,< NR,Virginia,ACC,,175, ,3-1,,,,
25,< NR,Oregon,Pac-10,,158, ,3-1,,,,
RV,< NR,Stanford,Pac-10,,142, ,,,,,
RV,< 16,USC,Pac-10,,140, ,,,,,
RV,< 20,Wisconsin,Big Ten,,138, ,,,,,
RV,< 17,BYU,MWC,,94, ,,,,,
RV,< NR,Maryland,ACC,,27, ,,,,,
RV,< NR,Mississippi,SEC,,27, ,,,,,
RV,< 18,UCLA,Pac-10,,25, ,,,,,
RV,< NR,Wyoming,MWC,,21, ,,,,,
RV,< NR,Southern Miss,C-USA,,14, ,,,,,
RV,< NR,Utah,MWC,,14, ,,,,,
RV,< NR,Minnesota,Big Ten,,12, ,,,,,
RV,< 24,Air Force,MWC,,9, ,,,,,
RV,< NR,Arizona,Pac-10,,9, ,,,,,
RV,< NR,Auburn,SEC,,5, ,,,,,
RV,< NR,Vanderbilt,SEC,,5, ,,,,,
RV,< NR,Wake Forest,ACC,,3, ,,,,,
RV,< NR,Illinois,Big Ten,,2, ,,,,,
RV,< NR,Oregon State,Pac-10,,1, ,,,,,
NR,< 25,NC State,ACC,,0, ,,,,,
1,< 1,Florida State (64),ACC,,1744,W 51-23 N Duke,5-0,,,,
2,< 2,Penn State (5),Big Ten,,1672, ,5-0,,,,
3,< 4,Michigan,Big Ten,,1606, ,5-0,,,,
4,< 6,Nebraska,Big 12,,1537, ,5-0,,,,
5,< 8,Virginia Tech (1),Big East,,1427, ,4-0,,,,
6,< 7,Tennessee,SEC,,1346, ,3-1,,,,
7,< 9,Georgia Tech,ACC,,1294, ,3-1,,,,
8,< 3,Florida,SEC,,1211, ,4-1,,,,
9,< 13,Kansas State,Big 12,,1151, ,4-0,,,,
10,< 10,Georgia,SEC,,1145, ,4-0,,,,
11,< 14,Michigan State,Big Ten,,1111, ,5-0,,,,
12,< 21,Alabama,SEC,,858, ,4-1,,,,
13,< 5,Texas A&M,Big 12,,855, ,3-1,,,,
14,< 16,Mississippi State,SEC,,851, ,5-0,,,,
15,< 17,Marshall,MAC,,692,W 32-14 A Miami (OH),5-0,,,,
16,< 19,East Carolina,C-USA,,690,W 33-14 A Army,5-0,,,,
17,< 11,Purdue,Big Ten,,649, ,4-1,,,,
18,< 22,Syracuse,Big East,,586, ,4-1,,,,
19,< 18,Miami (FL),Big East,,487, ,2-2,,,,
20,< NR,Wisconsin,Big Ten,,425, ,3-2,,,,
21,< 12,Ohio State,Big Ten,,313, ,3-2,,,,
22,< NR,USC,Pac-10,,281, ,3-1,,,,
23,< 15,Texas,Big 12,,218, ,4-2,,,,
24,< NR,BYU,MWC,,121, ,3-1,,,,
25,< NR,Minnesota,Big Ten,,102, ,4-0,,,,
NR,< 20,Arkansas,SEC,,, ,,,,,
NR,< 23,Oklahoma,Big 12,,,L 34-30 A Notre Dame,3-1,,,,
NR,< 25,Oregon,Pac-10,,, ,,,,,
NR,< 24,Virginia,ACC,,, ,,,,,
1,< 1,Florida State (63),ACC,,1743,W 31-21 H #19 Miami (FL),6-0,,,,
2,< 2,Penn State (6),Big Ten,,1678, ,6-0,,,,
3,< 4,Nebraska,Big 12,,1595, ,6-0,,,,
4,< 5,Virginia Tech (1),Big East,,1497, ,5-0,,,,
5,< 11,Michigan State,Big Ten,,1408, ,6-0,,,,
6,< 6,Tennessee,SEC,,1398, ,4-1,,,,
7,< 8,Florida,SEC,,1282, ,5-1,,,,
8,< 7,Georgia Tech,ACC,,1258, ,4-1,,,,
9,< 9,Kansas State,Big 12,,1212, ,5-0,,,,
10,< 3,Michigan,Big Ten,,1171, ,5-1,,,,
11,< 12,Alabama,SEC,,991, ,4-1,,,,
12,< 14,Mississippi State,SEC,,927, ,6-0,,,,
13,< 13,Texas A&M,Big 12,,926, ,4-1,,,,
14,< 10,Georgia,SEC,,778, ,4-1,,,,
15,< 15,Marshall,MAC,,760,DNP,5-0,,,,
16,< 18,Syracuse,Big East,,715, ,5-1,,,,
17,< 20,Wisconsin,Big Ten,,606, ,4-2,,,,
18,< 21,Ohio State,Big Ten,,588, ,4-2,,,,
19,< 23,Texas,Big 12,,454, ,5-2,,,,
20,< 17,Purdue,Big Ten,,366, ,4-2,,,,
21,< 24,BYU,MWC,,341, ,4-1,,,,
22,< NR,Mississippi,SEC,,218, ,5-1,,,,
23,< 16,East Carolina,C-USA,,205,L 39-22 H Southern Miss,5-1,,,,
24,< 19,Miami (FL),Big East,,161, ,2-3,,,,
25,< NR,Southern Miss,C-USA,,124,W 39-22 A East Carolina,3-2,,,,
NR,< 25,Minnesota,Big Ten,,, ,,,,,
NR,< 22,USC,Pac-10,,, ,,,,,
1,< 1,Florida State (62),ACC,,1742,W 33-10 H Wake Forest,7-0,,,,
2,< 2,Penn State (6),Big Ten,,1678, ,7-0,,,,
3,< 3,Nebraska,Big 12,,1580, ,6-0,,,,
4,< 4,Virginia Tech (2),Big East,,1561, ,6-0,,,,
5,< 6,Tennessee,SEC,,1419, ,4-1,,,,
6,< 7,Florida,SEC,,1368, ,6-1,,,,
7,< 9,Kansas State,Big 12,,1297, ,6-0,,,,
8,< 8,Georgia Tech,ACC,,1247, ,5-1,,,,
9,< 10,Michigan,Big Ten,,1157, ,5-1,,,,
10,< 11,Alabama,SEC,,1089, ,5-1,,,,
11,< 5,Michigan State,Big Ten,,987, ,6-1,,,,
12,< 12,Mississippi State,SEC,,976, ,6-0,,,,
13,< 13,Texas A&M,Big 12,,934, ,5-1,,,,
14,< 14,Georgia,SEC,,813, ,5-1,,,,
15,< 15,Marshall,MAC,,758,W 38-13 H Toledo,6-0,,,,
16,< 20,Purdue,Big Ten,,754, ,5-2,,,,
17,< 17,Wisconsin,Big Ten,,717, ,5-2,,,,
18,< 19,Texas,Big 12,,532, ,5-2,,,,
19,< 21,BYU,MWC,,446, ,5-1,,,,
20,< 23,East Carolina,C-USA,,301,DNP,5-1,,,,
21,< 25,Southern Miss,C-USA,,282,W 24-0 H Army,4-2,,,,
22,< 18,Ohio State,Big Ten,,220, ,4-3,,,,
23,< 24,Miami (FL),Big East,,186, ,2-3,,,,
24,< NR,Minnesota,Big Ten,,162, ,5-1,,,,
25,< 22,Mississippi,SEC,,126, ,5-2,,,,
NR,< 16,Syracuse,Big East,,, ,,,,,
1,< 1,Florida State (55),ACC,,1733,W 17-14 A Clemson,8-0,1,,,
2,< 2,Penn State (10),Big Ten,,1684, ,8-0,2,,,
3,< 4,Virginia Tech (5),Big East,,1603, ,6-0,3,,,
4,< 5,Tennessee,SEC,,1515, ,5-1,4,,,
5,< 6,Florida,SEC,,1456, ,6-1,6,,,
6,< 7,Kansas State,Big 12,,1412, ,7-0,5,,,
7,< 8,Georgia Tech,ACC,,1329, ,5-1,8,,,
8,< 12,Mississippi State,SEC,,1180, ,7-0,11,,,
8,< 3,Nebraska,Big 12,,1180, ,6-1,7,,,
10,< 14,Georgia,SEC,,1072, ,6-1,NR,,,
