Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
5,< 16,BYU (3),WAC,2-0,1171, ,,,,,
6,< 7,USC,Pac-10,1-0,1126, ,,,,,
7,< 8,Tennessee,SEC,2-0-1,1108, ,,,,,
8,< 10,Nebraska (1),Big 8,2-0,1047, ,,,,,
9,< 6,Colorado,Big 8,1-0-1,1041, ,,,,,
10,< 1,Miami (FL),Ind,0-1,1013,L 28-21 A #16 BYU,,,,,
11,< 14,Virginia,ACC,2-0,1005, ,,,,,
12,< 12,Texas A&M,Southwest,1-0,802, ,,,,,
13,< 17,Pittsburgh,Ind,2-0,673, ,,,,,
14,< 23,Oklahoma,Big 8,1-0,662,W 34-14 A #19 UCLA,,,,,
15,< 15,Arkansas,Southwest,0-0,647,DNP,,,,,
16,< 9,Clemson,ACC,1-1,471, ,,,,,
17,< 18,Ohio State,Big Ten,1-0,467, ,,,,,
18,< 24,Houston,Southwest,1-0,395, ,,,,,
19,< 22,Michigan State,Big Ten,0-0,382,DNP,,,,,
20,< NR,Arizona,Pac-10,1-0,370,W 28-16 H Illinois,,,,,
21,< 11,Illinois,Big Ten,0-1,365, ,,,,,
22,< 20,Washington,Pac-10,1-0,345, ,,,,,
23,< NR,Texas,Southwest,1-0,214, ,,,,,
24,< NR,Florida,SEC,1-0,163, ,,,,,
25,< NR,Arizona State,Pac-10,1-0,113, ,,,,,
NR,< 13,Alabama,SEC,,104, ,,,,,
NR,< 21,Fresno State,Big West,,51, ,,,,,
NR,< 19,Maryland,ACC,,42, ,,,,,
NR,< 25,South Carolina,Ind,,40, ,,,,,
RV,< 13,UCLA,Pac-10,,38, ,,,,,
RV,< NR,Georgia Tech,ACC,,37, ,,,,,
RV,< NR,Oregon,Pac-10,,36, ,,,,,
RV,< NR,Southern Miss,Ind,,31, ,,,,,
RV,< 19,LSU,SEC,,25, ,,,,,
RV,< NR,Penn State,Ind,,25, ,,,,,
RV,< NR,Wyoming,WAC,,16, ,,,,,
RV,< NR,West Virginia,Ind,,10, ,,,,,
RV,< NR,Colorado State,WAC,,9, ,,,,,
RV,< 21,Georgia,SEC,,7, ,,,,,
RV,< NR,Louisville,Ind,,5, ,,,,,
RV,< 25,Stanford,Pac-10,,4, ,,,,,
RV,< NR,Mississippi,SEC,,3, ,,,,,
RV,< NR,Syracuse,Ind,,2, ,,,,,
RV,< NR,Purdue,Big Ten,,1, ,,,,,
RV,< NR,Rutgers,Ind,,1, ,,,,,
1,< 1,Notre Dame (44),Ind,1-0,1480,W 28-24 H #4 Michigan,,,,,
2,< 3,Florida State (10),Ind,2-0,1385, ,,,,,
